model,resource_type,n,misconfigured,precision,recall,f1
Logistic Regression,s3,94,55,0.7236842105263158,1.0,0.8396946564885496
Logistic Regression,iam,230,91,0.9775280898876404,0.9560439560439561,0.9666666666666667
Logistic Regression,security_group,110,47,0.8857142857142857,0.6595744680851063,0.7560975609756098
Random Forest,s3,94,55,0.7236842105263158,1.0,0.8396946564885496
Random Forest,iam,230,91,0.9647058823529412,0.9010989010989011,0.9318181818181818
Random Forest,security_group,110,47,0.9512195121951219,0.8297872340425532,0.8863636363636364
